Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";3;16;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";4;16;kg;10;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";1;60;kg;20;;;;0;"";;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";2;60;kg;20;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";3;60;kg;20;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";4;60;kg;20;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";1;60;kg;15;;;;0;"";;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";2;60;kg;15;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";3;60;kg;15;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";4;60;kg;15;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";1;20;kg;20;;;;0;"";;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";2;35;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";3;35;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";4;35;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";1;10;kg;20;;;;0;"";;1h 27m
